,gamma,epsilon,time,iterations,reward,average_steps,steps_stddev,success_pct,policy,mean_rewards,max_rewards,error
0,0.1,0.1,3.8623809814453125e-05,1.0,0.3333333333333333,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 1 0]]","(0.020833333333333332,)","(0.3333333333333333,)","(0.3333333333333333,)"
1,0.1,0.01,4.1961669921875e-05,1.0,0.3333333333333333,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 1 0]]","(0.020833333333333332,)","(0.3333333333333333,)","(0.3333333333333333,)"
2,0.1,0.001,0.00011706352233886719,2.0,0.34444444444444444,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 1 1 0]]","(0.020833333333333332, 0.02291666666666667)","(0.3333333333333333, 0.34444444444444444)","(0.3333333333333333, 0.011111111111111127)"
3,0.1,1e-05,0.00019788742065429688,4.0,0.3452345679012345,19.272340425531915,9.321804731841283,23.5,"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02291666666666667, 0.02310185185185185, 0.023118827160493828)","(0.3333333333333333, 0.34444444444444444, 0.34518518518518515, 0.3452345679012345)","(0.3333333333333333, 0.011111111111111127, 0.0007407407407407415, 7.407407407407016e-05)"
4,0.1,1e-07,0.0005252361297607422,6.0,0.34523899862825785,19.5,10.717742299570372,20.0,"[[1 2 0 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02291666666666667, 0.02310185185185185, 0.023118827160493828, 0.02312039609053498, 0.023120541838134428)","(0.3333333333333333, 0.34444444444444444, 0.34518518518518515, 0.3452345679012345, 0.345238683127572, 0.34523899862825785)","(0.3333333333333333, 0.011111111111111127, 0.0007407407407407415, 7.407407407407016e-05, 5.349794238683481e-06, 4.938271604970623e-07)"
5,0.1,1e-10,0.0004334449768066406,9.0,0.3452390279901438,28.767816091954025,17.93689765621124,43.50000000000001,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02291666666666667, 0.02310185185185185, 0.023118827160493828, 0.02312039609053498, 0.023120541838134428, 0.023120555469821672, 0.023120556748209117, 0.023120556868522327)","(0.3333333333333333, 0.34444444444444444, 0.34518518518518515, 0.3452345679012345, 0.345238683127572, 0.34523899862825785, 0.34523902560585273, 0.34523902780064014, 0.3452390279901438)","(0.3333333333333333, 0.011111111111111127, 0.0007407407407407415, 7.407407407407016e-05, 5.349794238683481e-06, 4.938271604970623e-07, 3.88660265205178e-08, 3.490321597715562e-09, 2.9416247530281853e-10)"
6,0.1,1e-12,0.0006365776062011719,11.0,0.34523902800750506,29.820861678004537,20.353277164157205,44.099999999999994,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02291666666666667, 0.02310185185185185, 0.023118827160493828, 0.02312039609053498, 0.023120541838134428, 0.023120555469821672, 0.023120556748209117, 0.023120556868522327, 0.023120556879862485, 0.02312055688093328)","(0.3333333333333333, 0.34444444444444444, 0.34518518518518515, 0.3452345679012345, 0.345238683127572, 0.34523899862825785, 0.34523902560585273, 0.34523902780064014, 0.3452390279901438, 0.34523902800611356, 0.34523902800750506)","(0.3333333333333333, 0.011111111111111127, 0.0007407407407407415, 7.407407407407016e-05, 5.349794238683481e-06, 4.938271604970623e-07, 3.88660265205178e-08, 3.490321597715562e-09, 2.9416247530281853e-10, 2.5775204887112935e-11, 2.3122040306716718e-12)"
7,0.2,0.1,4.124641418457031e-05,1.0,0.3333333333333333,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 1 0]]","(0.020833333333333332,)","(0.3333333333333333,)","(0.3333333333333333,)"
8,0.2,0.01,9.918212890625e-05,2.0,0.3555555555555555,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 1 1 0]]","(0.020833333333333332, 0.024999999999999994)","(0.3333333333333333, 0.3555555555555555)","(0.3333333333333333, 0.022222222222222223)"
9,0.2,0.001,0.0001633167266845703,3.0,0.3585185185185185,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 1 1 0]]","(0.020833333333333332, 0.024999999999999994, 0.02574074074074074)","(0.3333333333333333, 0.3555555555555555, 0.3585185185185185)","(0.3333333333333333, 0.022222222222222223, 0.0029629629629630005)"
