,param_n_neighbors,param_p,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,,,0.0034570217132568358,0.09526538848876953,1.0,0.5930962326258944,0.0004572590738965244,0.030057777399906078,0.015388481544656085,0.0
1,,,0.004593181610107422,0.12917256355285645,1.0,0.5979098759768534,0.0003578899186405445,0.013831414658594865,0.014487112642371389,0.0
2,,,0.0042208671569824215,0.10004267692565919,1.0,0.5963066695640278,0.0012985377995155124,0.028538394074044716,0.007718607174714266,0.0
3,,,0.0034079551696777344,0.11501431465148926,1.0,0.5902865972909674,0.0004410950423886965,0.04475890401594029,0.012276262699372894,0.0
4,,,0.0034210205078125,0.08554821014404297,1.0,0.5886825860556455,0.0001027412466602213,0.016959381655748132,0.013994673607319631,0.0
5,,,0.003539848327636719,0.09125056266784667,0.7897273858706073,0.6308126292746136,0.0005044360524489096,0.04544396347453298,0.014217167051538986,0.004999055444300271
6,,,0.003377342224121094,0.07884955406188965,0.7820026059110597,0.6300150501806827,0.00017951298446767939,0.025596485121157683,0.010470501579414392,0.0019219881413000946
7,,,0.005116081237792969,0.15320920944213867,0.775280885305188,0.6259981811011581,0.0028699037112853583,0.05811419859591925,0.0078094641177643195,0.0023952879859527824
8,,,0.004046392440795898,0.19946165084838868,0.774779330465053,0.6239925634401333,0.0004729266127260645,0.06126830266903039,0.007876200197456433,0.004550852235557494
9,,,0.003674173355102539,0.16192455291748048,0.7745781247405035,0.6219877506016048,0.0004222253321097549,0.05521552236227128,0.006805723602911492,0.003517368626915114
10,,,0.003835296630859375,0.12192816734313965,0.8071839200491591,0.623194179523706,0.0006283188368495216,0.00804804524307629,0.02122437444572529,0.007296698707872027
11,,,0.003371858596801758,0.11834955215454102,0.7969504600102365,0.6179797345695407,0.0001792123552052999,0.038348697370907174,0.014167862016342021,0.005275850426081751
12,,,0.005576705932617188,0.11801471710205078,0.794241983350956,0.618378121705258,0.003946988152886101,0.02946195516451369,0.010887545624196764,0.006607230568802218
13,,,0.005235052108764649,0.2070004940032959,0.7940414318721343,0.6115540317582957,0.003404666938339881,0.09636897912459837,0.017721899812025425,0.003930487938563138
14,,,0.005743741989135742,0.29939732551574705,0.7895269350449744,0.6167700863574538,0.0046577892054393,0.04572811899184837,0.01802926786610855,0.005776838693426436
15,,,0.0035150527954101564,0.12574901580810546,0.7491979702277933,0.6360327079862537,0.00025378120240512794,0.04177495026766741,0.0102927337830661,0.004364692598080025
16,,,0.004054355621337891,0.14410457611083985,0.7469904948161091,0.6276094357389478,0.00121611550240563,0.03199801612766211,0.002540635326557542,0.002264395466692859
17,,,0.003771686553955078,0.1567074775695801,0.7383624028130553,0.6215917779333768,0.0006928834195312163,0.0405867033894156,0.0038578756479939924,0.004080375157496907
18,,,0.004034852981567383,0.2983383655548096,0.7356539764803693,0.6171781313631278,0.0006683449460017471,0.11177634849159072,0.005788141608419979,0.003653671844135761
