,param_learning_rate,param_n_estimators,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,,,0.027533864974975585,0.002799844741821289,0.6572036732374745,0.6239981971976081,0.0024900731094483694,0.003008394920658812,0.008016606328044452,0.005282013814376486
1,,,0.052869129180908206,0.0019101142883300782,0.6659308079783756,0.6316174517710119,0.003900301576378114,0.00016940170061006184,0.012894375509198976,0.0059175179845755875
2,,,0.07669301033020019,0.002155637741088867,0.6725516237624062,0.6320214726642039,0.0018200026907917507,0.0002431470052786067,0.009749863211350372,0.004010782439986028
3,,,0.10484223365783692,0.0037804126739501955,0.6752602514014698,0.6336270935445187,0.003908159560607388,0.0013551174904166908,0.010600608417239832,0.005099149439126199
4,,,0.1329209327697754,0.003231191635131836,0.6794726880088333,0.6296134437549799,0.0035254200667182763,0.0006841936077945332,0.006969932610125635,0.007003830949616159
5,,,0.15159273147583008,0.0035520076751708986,0.6803752954800176,0.6348286935316416,0.0066093000859977005,0.0004384292832210972,0.011224495660706043,0.007852030751599647
6,,,0.17571091651916504,0.0043071269989013675,0.6833851781133667,0.6364351192344528,0.007021737036804897,0.00022357935873726543,0.010314320633802623,0.0068767291081579165
7,,,0.18813552856445312,0.004751348495483398,0.6891033360996184,0.6356327112055437,0.012662717144109827,0.00023925655920262415,0.010557759241883322,0.007940810686569296
8,,,0.21385064125061035,0.004446792602539063,0.6946216975059649,0.6360343176312464,0.008374485015942122,0.0008286360752919345,0.010693977397694744,0.00493539762076067
9,,,0.23682990074157714,0.005855274200439453,0.6990362960431721,0.6356311015605509,0.008367293669533392,0.00028539316988218297,0.009316608184644316,0.0031033257793407552
10,,,0.258558464050293,0.005516242980957031,0.7024470300011928,0.6400479674207853,0.013020811024316256,0.0007171808307816288,0.009034332166034793,0.003821435781499523
11,,,0.2863281726837158,0.006624269485473633,0.7050555580439261,0.6408511802721909,0.0067809609012423515,0.0011023965703356056,0.011892765490491815,0.004785676656084037
12,,,0.3088563919067383,0.0067021846771240234,0.7087670437302878,0.6404487690239916,0.013985465091808284,0.0005164918859378626,0.011951191166395307,0.0052651913804608996
13,,,0.3416009426116943,0.0073792457580566405,0.7113753704666432,0.6388439529661734,0.015848582205805355,0.0004105093670521975,0.013854781894073673,0.004355789753117318
14,,,0.36516356468200684,0.008068180084228516,0.7160905194258138,0.6380407401147676,0.01050903391904364,0.0013434078789668345,0.012882904741445243,0.00462417379489974
15,,,0.40206570625305177,0.008309602737426758,0.7205048160034544,0.6380423497597605,0.005132997365642887,0.0009024180320250262,0.016226274908436797,0.0040357348398867435
16,,,0.415875244140625,0.007918071746826173,0.7226114369198917,0.6384415417179741,0.015611297597796829,0.0014464504647333967,0.019549457514396556,0.004408091385513612
17,,,0.4308146953582764,0.009769105911254882,0.7264241293876612,0.6376399385115612,0.021677024156994764,0.0009416279238410942,0.019333161561173654,0.0030575624343695067
18,,,0.458750057220459,0.009648370742797851,0.7313402324384091,0.6324238839124031,0.007711326194474766,0.0014791539251756219,0.019227322228318407,0.004417111636688505
